"time","Tmax","Tmin","Tavg","DewPoint","Heat","Cool","Sunrise","Sunset","PrecipTotal","StnPressure","AvgSpeed","SiteID","Ozone","units","Lat","Long","quant","fit","resid","stdev"
"2011-01-14",55,42,49,34,16,0,717,1743,0,30.28,8.8,"48-201-0416",0.029,"ppm",29.686389,-95.294722,1,0.0252561312697732,0.0037438687302268,0.00624178932252342
"2011-01-14",55,42,49,34,16,0,717,1743,0,30.28,8.8,"48-201-0046",0.025,"ppm",29.828086,-95.284096,1,0.0252561312697732,-0.0002561312697732,0.00624178932252342
"2011-01-14",55,42,49,34,16,0,717,1743,0,30.28,8.8,"48-201-0026",0.03,"ppm",29.802707,-95.125495,1,0.0252561312697732,0.0047438687302268,0.00624178932252342
"2011-01-14",55,42,49,34,16,0,717,1743,0,30.28,8.8,"48-201-0062",0.03,"ppm",29.625833,-95.2675,1,0.0252561312697732,0.0047438687302268,0.00624178932252342
"2011-01-14",55,42,49,34,16,0,717,1743,0,30.28,8.8,"48-039-1004",0.037,"ppm",29.520443,-95.392509,1,0.0252561312697732,0.0117438687302268,0.00624178932252342
"2011-01-14",55,42,49,34,16,0,717,1743,0,30.28,8.8,"48-201-1034",0.026,"ppm",29.767971,-95.220587,1,0.0252561312697732,0.000743868730226797,0.00624178932252342
"2011-01-14",55,42,49,34,16,0,717,1743,0,30.28,8.8,"48-201-0070",0.026,"ppm",29.735129,-95.315583,1,0.0252561312697732,0.000743868730226797,0.00624178932252342
"2011-01-21",49,35,42,28,23,0,716,1749,0,30.04,6.7,"48-201-0066",0.02,"ppm",29.724722,-95.503611,1,0.0213365952326056,-0.00133659523260563,0.00624178932252342
"2011-01-21",49,35,42,28,23,0,716,1749,0,30.04,6.7,"48-201-0075",0.017,"ppm",29.752778,-95.350278,1,0.0213365952326056,-0.00433659523260563,0.00624178932252342
"2011-01-21",49,35,42,28,23,0,716,1749,0,30.04,6.7,"48-201-0046",0.019,"ppm",29.828086,-95.284096,1,0.0213365952326056,-0.00233659523260563,0.00624178932252342
"2011-01-21",49,35,42,28,23,0,716,1749,0,30.04,6.7,"48-201-1015",0.023,"ppm",29.761653,-95.081386,1,0.0213365952326056,0.00166340476739437,0.00624178932252342
"2011-01-21",49,35,42,28,23,0,716,1749,0,30.04,6.7,"48-201-0055",0.019,"ppm",29.695744,-95.499262,1,0.0213365952326056,-0.00233659523260563,0.00624178932252342
"2011-01-21",49,35,42,28,23,0,716,1749,0,30.04,6.7,"48-339-0078",0.026,"ppm",30.350302,-95.425128,1,0.0213365952326056,0.00466340476739437,0.00624178932252342
"2011-01-21",49,35,42,28,23,0,716,1749,0,30.04,6.7,"48-201-0416",0.015,"ppm",29.686389,-95.294722,1,0.0213365952326056,-0.00633659523260563,0.00624178932252342
"2011-01-21",49,35,42,28,23,0,716,1749,0,30.04,6.7,"48-039-1016",0.021,"ppm",29.043759,-95.472946,1,0.0213365952326056,-0.000336595232605631,0.00624178932252342
"2011-01-21",49,35,42,28,23,0,716,1749,0,30.04,6.7,"48-201-1039",0.022,"ppm",29.670025,-95.128508,1,0.0213365952326056,0.000663404767394366,0.00624178932252342
"2011-01-21",49,35,42,28,23,0,716,1749,0,30.04,6.7,"48-201-0051",0.019,"ppm",29.623611,-95.473611,1,0.0213365952326056,-0.00233659523260563,0.00624178932252342
"2011-01-21",49,35,42,28,23,0,716,1749,0,30.04,6.7,"48-201-0062",0.015,"ppm",29.625833,-95.2675,1,0.0213365952326056,-0.00633659523260563,0.00624178932252342
"2011-01-21",49,35,42,28,23,0,716,1749,0,30.04,6.7,"48-201-0024",0.021,"ppm",29.901037,-95.326125,1,0.0213365952326056,-0.000336595232605631,0.00624178932252342
"2011-01-21",49,35,42,28,23,0,716,1749,0,30.04,6.7,"48-201-0026",0.023,"ppm",29.802707,-95.125495,1,0.0213365952326056,0.00166340476739437,0.00624178932252342
"2011-01-21",49,35,42,28,23,0,716,1749,0,30.04,6.7,"48-201-1034",0.018,"ppm",29.767971,-95.220587,1,0.0213365952326056,-0.00333659523260563,0.00624178932252342
"2011-01-21",49,35,42,28,23,0,716,1749,0,30.04,6.7,"48-201-0070",0.017,"ppm",29.735129,-95.315583,1,0.0213365952326056,-0.00433659523260563,0.00624178932252342
"2011-01-21",49,35,42,28,23,0,716,1749,0,30.04,6.7,"48-201-1035",0.017,"ppm",29.733726,-95.257593,1,0.0213365952326056,-0.00433659523260563,0.00624178932252342
"2011-01-21",49,35,42,28,23,0,716,1749,0,30.04,6.7,"48-039-1004",0.02,"ppm",29.520443,-95.392509,1,0.0213365952326056,-0.00133659523260563,0.00624178932252342
"2011-01-21",49,35,42,28,23,0,716,1749,0,30.04,6.7,"48-201-0029",0.027,"ppm",30.039534,-95.6739,1,0.0213365952326056,0.00566340476739437,0.00624178932252342
"2011-01-21",49,35,42,28,23,0,716,1749,0,30.04,6.7,"48-201-0047",0.02,"ppm",29.834722,-95.489167,1,0.0213365952326056,-0.00133659523260563,0.00624178932252342
"2011-02-09",51,29,40,33,25,0,705,1804,0.2,30.12,17.7,"48-201-0046",0.029,"ppm",29.828086,-95.284096,1,0.0227046912532545,0.00629530874674553,0.00624178932252342
"2011-02-09",51,29,40,33,25,0,705,1804,0.2,30.12,17.7,"48-339-0078",0.034,"ppm",30.350302,-95.425128,1,0.0227046912532545,0.0112953087467455,0.00624178932252342
"2011-02-09",51,29,40,33,25,0,705,1804,0.2,30.12,17.7,"48-201-0026",0.032,"ppm",29.802707,-95.125495,1,0.0227046912532545,0.00929530874674553,0.00624178932252342
"2011-02-09",51,29,40,33,25,0,705,1804,0.2,30.12,17.7,"48-201-0024",0.031,"ppm",29.901037,-95.326125,1,0.0227046912532545,0.00829530874674553,0.00624178932252342
"2011-02-09",51,29,40,33,25,0,705,1804,0.2,30.12,17.7,"48-201-0051",0.036,"ppm",29.623611,-95.473611,1,0.0227046912532545,0.0132953087467455,0.00624178932252342
"2011-02-09",51,29,40,33,25,0,705,1804,0.2,30.12,17.7,"48-201-0070",0.026,"ppm",29.735129,-95.315583,1,0.0227046912532545,0.00329530874674553,0.00624178932252342
"2011-02-09",51,29,40,33,25,0,705,1804,0.2,30.12,17.7,"48-201-0075",0.028,"ppm",29.752778,-95.350278,1,0.0227046912532545,0.00529530874674553,0.00624178932252342
"2011-02-09",51,29,40,33,25,0,705,1804,0.2,30.12,17.7,"48-201-1039",0.036,"ppm",29.670025,-95.128508,1,0.0227046912532545,0.0132953087467455,0.00624178932252342
"2011-02-09",51,29,40,33,25,0,705,1804,0.2,30.12,17.7,"48-039-1004",0.039,"ppm",29.520443,-95.392509,1,0.0227046912532545,0.0162953087467455,0.00624178932252342
"2011-02-09",51,29,40,33,25,0,705,1804,0.2,30.12,17.7,"48-201-0055",0.032,"ppm",29.695744,-95.499262,1,0.0227046912532545,0.00929530874674553,0.00624178932252342
"2011-02-09",51,29,40,33,25,0,705,1804,0.2,30.12,17.7,"48-201-1035",0.029,"ppm",29.733726,-95.257593,1,0.0227046912532545,0.00629530874674553,0.00624178932252342
"2011-02-09",51,29,40,33,25,0,705,1804,0.2,30.12,17.7,"48-201-1015",0.033,"ppm",29.761653,-95.081386,1,0.0227046912532545,0.0102953087467455,0.00624178932252342
"2011-02-09",51,29,40,33,25,0,705,1804,0.2,30.12,17.7,"48-201-0062",0.033,"ppm",29.625833,-95.2675,1,0.0227046912532545,0.0102953087467455,0.00624178932252342
"2011-02-09",51,29,40,33,25,0,705,1804,0.2,30.12,17.7,"48-201-1050",0.037,"ppm",29.583047,-95.015544,1,0.0227046912532545,0.0142953087467455,0.00624178932252342
"2011-02-09",51,29,40,33,25,0,705,1804,0.2,30.12,17.7,"48-201-0416",0.032,"ppm",29.686389,-95.294722,1,0.0227046912532545,0.00929530874674553,0.00624178932252342
"2011-02-09",51,29,40,33,25,0,705,1804,0.2,30.12,17.7,"48-201-0047",0.027,"ppm",29.834722,-95.489167,1,0.0227046912532545,0.00429530874674553,0.00624178932252342
"2011-02-09",51,29,40,33,25,0,705,1804,0.2,30.12,17.7,"48-201-1034",0.028,"ppm",29.767971,-95.220587,1,0.0227046912532545,0.00529530874674553,0.00624178932252342
"2011-02-09",51,29,40,33,25,0,705,1804,0.2,30.12,17.7,"48-039-1016",0.039,"ppm",29.043759,-95.472946,1,0.0227046912532545,0.0162953087467455,0.00624178932252342
"2011-02-09",51,29,40,33,25,0,705,1804,0.2,30.12,17.7,"48-201-0066",0.031,"ppm",29.724722,-95.503611,1,0.0227046912532545,0.00829530874674553,0.00624178932252342
"2011-02-09",51,29,40,33,25,0,705,1804,0.2,30.12,17.7,"48-201-0029",0.034,"ppm",30.039534,-95.6739,1,0.0227046912532545,0.0112953087467455,0.00624178932252342
"2011-11-27",54,42,48,28,17,0,655,1722,0,30.16,14.7,"48-201-1050",0.033,"ppm",29.583047,-95.015544,1,0.0246425257272341,0.00835747427276595,0.00624178932252342
"2011-11-27",54,42,48,28,17,0,655,1722,0,30.16,14.7,"48-167-1034",0.033,"ppm",29.254474,-94.861289,1,0.0246425257272341,0.00835747427276595,0.00624178932252342
"2011-11-27",54,42,48,28,17,0,655,1722,0,30.16,14.7,"48-039-1004",0.036,"ppm",29.520443,-95.392509,1,0.0246425257272341,0.0113574742727659,0.00624178932252342
"2011-11-27",54,42,48,28,17,0,655,1722,0,30.16,14.7,"48-201-0062",0.033,"ppm",29.625833,-95.2675,1,0.0246425257272341,0.00835747427276595,0.00624178932252342
"2011-11-27",54,42,48,28,17,0,655,1722,0,30.16,14.7,"48-201-1034",0.031,"ppm",29.767971,-95.220587,1,0.0246425257272341,0.00635747427276595,0.00624178932252342
"2011-11-27",54,42,48,28,17,0,655,1722,0,30.16,14.7,"48-201-0046",0.031,"ppm",29.828086,-95.284096,1,0.0246425257272341,0.00635747427276595,0.00624178932252342
"2011-11-27",54,42,48,28,17,0,655,1722,0,30.16,14.7,"48-201-0026",0.035,"ppm",29.802707,-95.125495,1,0.0246425257272341,0.010357474272766,0.00624178932252342
"2011-11-27",54,42,48,28,17,0,655,1722,0,30.16,14.7,"48-201-1039",0.032,"ppm",29.670025,-95.128508,1,0.0246425257272341,0.00735747427276595,0.00624178932252342
"2011-11-27",54,42,48,28,17,0,655,1722,0,30.16,14.7,"48-201-0416",0.032,"ppm",29.686389,-95.294722,1,0.0246425257272341,0.00735747427276595,0.00624178932252342
"2011-11-27",54,42,48,28,17,0,655,1722,0,30.16,14.7,"48-339-0078",0.031,"ppm",30.350302,-95.425128,1,0.0246425257272341,0.00635747427276595,0.00624178932252342
"2011-11-27",54,42,48,28,17,0,655,1722,0,30.16,14.7,"48-201-0024",0.032,"ppm",29.901037,-95.326125,1,0.0246425257272341,0.00735747427276595,0.00624178932252342
"2011-11-27",54,42,48,28,17,0,655,1722,0,30.16,14.7,"48-201-0055",0.031,"ppm",29.695744,-95.499262,1,0.0246425257272341,0.00635747427276595,0.00624178932252342
"2011-11-27",54,42,48,28,17,0,655,1722,0,30.16,14.7,"48-201-0051",0.033,"ppm",29.623611,-95.473611,1,0.0246425257272341,0.00835747427276595,0.00624178932252342
"2011-11-27",54,42,48,28,17,0,655,1722,0,30.16,14.7,"48-201-0047",0.031,"ppm",29.834722,-95.489167,1,0.0246425257272341,0.00635747427276595,0.00624178932252342
"2011-11-27",54,42,48,28,17,0,655,1722,0,30.16,14.7,"48-201-0070",0.032,"ppm",29.735129,-95.315583,1,0.0246425257272341,0.00735747427276595,0.00624178932252342
"2011-11-27",54,42,48,28,17,0,655,1722,0,30.16,14.7,"48-201-1035",0.031,"ppm",29.733726,-95.257593,1,0.0246425257272341,0.00635747427276595,0.00624178932252342
"2011-11-27",54,42,48,28,17,0,655,1722,0,30.16,14.7,"48-039-1016",0.036,"ppm",29.043759,-95.472946,1,0.0246425257272341,0.0113574742727659,0.00624178932252342
"2011-11-27",54,42,48,28,17,0,655,1722,0,30.16,14.7,"48-201-0075",0.03,"ppm",29.752778,-95.350278,1,0.0246425257272341,0.00535747427276595,0.00624178932252342
"2011-12-06",46,36,41,34,24,0,702,1722,0,30.22,13.2,"48-201-0051",0.014,"ppm",29.623611,-95.473611,1,0.019179425312584,-0.00517942531258402,0.00624178932252342
"2011-12-06",46,36,41,34,24,0,702,1722,0,30.22,13.2,"48-201-1035",0.011,"ppm",29.733726,-95.257593,1,0.019179425312584,-0.00817942531258403,0.00624178932252342
"2011-12-06",46,36,41,34,24,0,702,1722,0,30.22,13.2,"48-339-0078",0.019,"ppm",30.350302,-95.425128,1,0.019179425312584,-0.000179425312584025,0.00624178932252342
"2011-12-06",46,36,41,34,24,0,702,1722,0,30.22,13.2,"48-167-1034",0.014,"ppm",29.254474,-94.861289,1,0.019179425312584,-0.00517942531258402,0.00624178932252342
"2011-12-06",46,36,41,34,24,0,702,1722,0,30.22,13.2,"48-201-0416",0.013,"ppm",29.686389,-95.294722,1,0.019179425312584,-0.00617942531258403,0.00624178932252342
"2011-12-06",46,36,41,34,24,0,702,1722,0,30.22,13.2,"48-201-0075",0.011,"ppm",29.752778,-95.350278,1,0.019179425312584,-0.00817942531258403,0.00624178932252342
"2011-12-06",46,36,41,34,24,0,702,1722,0,30.22,13.2,"48-201-0024",0.015,"ppm",29.901037,-95.326125,1,0.019179425312584,-0.00417942531258403,0.00624178932252342
