"time","Tmax","Tmin","Tavg","DewPoint","Heat","Cool","Sunrise","Sunset","PrecipTotal","StnPressure","AvgSpeed","SiteID","Ozone","units","Lat","Long"
"2011-01-08",67,49,58,35,7,0,717,1739,0,29.83,8,"48-201-0066",0.033,"ppm",29.724722,-95.503611
"2011-01-08",67,49,58,35,7,0,717,1739,0,29.83,8,"48-039-1016",0.04,"ppm",29.043759,-95.472946
"2011-01-08",67,49,58,35,7,0,717,1739,0,29.83,8,"48-201-0026",0.035,"ppm",29.802707,-95.125495
"2011-01-08",67,49,58,35,7,0,717,1739,0,29.83,8,"48-167-1034",0.038,"ppm",29.254474,-94.861289
"2011-01-08",67,49,58,35,7,0,717,1739,0,29.83,8,"48-201-0051",0.036,"ppm",29.623611,-95.473611
"2011-01-08",67,49,58,35,7,0,717,1739,0,29.83,8,"48-201-1039",0.039,"ppm",29.670025,-95.128508
"2011-01-08",67,49,58,35,7,0,717,1739,0,29.83,8,"48-201-0075",0.032,"ppm",29.752778,-95.350278
"2011-01-08",67,49,58,35,7,0,717,1739,0,29.83,8,"48-201-1050",0.04,"ppm",29.583047,-95.015544
"2011-01-08",67,49,58,35,7,0,717,1739,0,29.83,8,"48-339-0078",0.037,"ppm",30.350302,-95.425128
"2011-01-09",57,45,51,42,14,0,717,1739,0.62,29.77,12.5,"48-039-1004",0.033,"ppm",29.520443,-95.392509
"2011-01-09",57,45,51,42,14,0,717,1739,0.62,29.77,12.5,"48-201-0047",0.025,"ppm",29.834722,-95.489167
"2011-01-09",57,45,51,42,14,0,717,1739,0.62,29.77,12.5,"48-201-0055",0.027,"ppm",29.695744,-95.499262
"2011-01-09",57,45,51,42,14,0,717,1739,0.62,29.77,12.5,"48-201-0029",0.028,"ppm",30.039534,-95.6739
"2011-01-09",57,45,51,42,14,0,717,1739,0.62,29.77,12.5,"48-201-0024",0.025,"ppm",29.901037,-95.326125
"2011-01-09",57,45,51,42,14,0,717,1739,0.62,29.77,12.5,"48-201-0062",0.027,"ppm",29.625833,-95.2675
"2011-01-09",57,45,51,42,14,0,717,1739,0.62,29.77,12.5,"48-201-1034",0.026,"ppm",29.767971,-95.220587
"2011-01-09",57,45,51,42,14,0,717,1739,0.62,29.77,12.5,"48-201-1035",0.024,"ppm",29.733726,-95.257593
"2011-01-09",57,45,51,42,14,0,717,1739,0.62,29.77,12.5,"48-201-0051",0.029,"ppm",29.623611,-95.473611
"2011-01-09",57,45,51,42,14,0,717,1739,0.62,29.77,12.5,"48-201-0026",0.028,"ppm",29.802707,-95.125495
"2011-01-09",57,45,51,42,14,0,717,1739,0.62,29.77,12.5,"48-201-0066",0.027,"ppm",29.724722,-95.503611
"2011-01-09",57,45,51,42,14,0,717,1739,0.62,29.77,12.5,"48-201-0075",0.022,"ppm",29.752778,-95.350278
"2011-01-09",57,45,51,42,14,0,717,1739,0.62,29.77,12.5,"48-201-0046",0.025,"ppm",29.828086,-95.284096
"2011-01-09",57,45,51,42,14,0,717,1739,0.62,29.77,12.5,"48-201-0416",0.028,"ppm",29.686389,-95.294722
"2011-01-09",57,45,51,42,14,0,717,1739,0.62,29.77,12.5,"48-201-1039",0.03,"ppm",29.670025,-95.128508
"2011-01-09",57,45,51,42,14,0,717,1739,0.62,29.77,12.5,"48-201-1050",0.029,"ppm",29.583047,-95.015544
"2011-01-09",57,45,51,42,14,0,717,1739,0.62,29.77,12.5,"48-201-0070",0.022,"ppm",29.735129,-95.315583
"2011-01-09",57,45,51,42,14,0,717,1739,0.62,29.77,12.5,"48-201-1015",0.028,"ppm",29.761653,-95.081386
"2011-01-09",57,45,51,42,14,0,717,1739,0.62,29.77,12.5,"48-339-0078",0.031,"ppm",30.350302,-95.425128
"2011-01-09",57,45,51,42,14,0,717,1739,0.62,29.77,12.5,"48-039-1016",0.04,"ppm",29.043759,-95.472946
"2011-01-10",47,43,45,38,20,0,717,1740,0,30.06,7.4,"48-201-0024",0.019,"ppm",29.901037,-95.326125
"2011-01-10",47,43,45,38,20,0,717,1740,0,30.06,7.4,"48-201-0066",0.019,"ppm",29.724722,-95.503611
"2011-01-10",47,43,45,38,20,0,717,1740,0,30.06,7.4,"48-201-0026",0.021,"ppm",29.802707,-95.125495
"2011-01-10",47,43,45,38,20,0,717,1740,0,30.06,7.4,"48-201-0055",0.019,"ppm",29.695744,-95.499262
"2011-01-10",47,43,45,38,20,0,717,1740,0,30.06,7.4,"48-201-0029",0.021,"ppm",30.039534,-95.6739
"2011-01-10",47,43,45,38,20,0,717,1740,0,30.06,7.4,"48-201-1034",0.018,"ppm",29.767971,-95.220587
"2011-01-10",47,43,45,38,20,0,717,1740,0,30.06,7.4,"48-201-0062",0.018,"ppm",29.625833,-95.2675
"2011-01-10",47,43,45,38,20,0,717,1740,0,30.06,7.4,"48-201-1035",0.019,"ppm",29.733726,-95.257593
"2011-01-10",47,43,45,38,20,0,717,1740,0,30.06,7.4,"48-201-0047",0.017,"ppm",29.834722,-95.489167
"2011-01-10",47,43,45,38,20,0,717,1740,0,30.06,7.4,"48-201-1050",0.021,"ppm",29.583047,-95.015544
